"par","median.lnp","median.lab","median.green"
"a.age[1]",-0.0781770667043746,-0.0882112678880124,-0.0840589085090292
"a.age[2]",-0.0603869009522896,-0.0624915262356372,-0.0661536440925753
"a.age[3]",0.0494347168426673,0.0479436812475891,0.0492163439635869
"a.age[4]",0.095924988758354,0.0972641462776772,0.100107963755187
"a.educ[1]",-0.0316911007180747,-0.0341299679141178,-0.0284903630631015
"a.educ[2]",-0.149055552047523,-0.152480669899516,-0.153013812892028
"a.educ[3]",0.120963090230528,0.119174414325991,0.116183318265081
"a.educ[4]",0.0651956591759413,0.0639760376997269,0.0606954056800348
"a.sex[1]",-0.048666277761803,-0.0510848634220196,-0.0483403632255804
"a.sex[2]",0.0513883190559502,0.047091661079325,0.0496761683238261
"alpha0",2.02650325502044,2.03514853028225,2.02462897161477
"b.age[1]",-0.368946843446485,0.249458230310863,0.404637025416425
"b.age[2]",-0.033816555300407,-0.0567024426481679,0.313909701186626
"b.age[3]",-0.033054813317792,0.0410867187746258,0.0975506016210349
"b.age[4]",0.430904564487354,-0.234505568239232,-0.833052118763998
"b.educ[1]",0.174962497687081,0.0166744921994594,-0.477008738332471
"b.educ[2]",0.211316145602849,-0.0246928975142819,-0.47166289434153
"b.educ[3]",-0.21154453295677,0.0185038573152806,0.470610764583947
"b.educ[4]",-0.187600404082861,-0.0038777870277643,0.488995131691499
"b.sex[1]",0.0248040558121042,0.0333620635995409,-0.156923356782445
"b.sex[2]",-0.0253998594145019,-0.0327482571693165,0.154267346007817
"beta0",-0.00672096092053268,-0.469931389825963,-2.23267230256076
